,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45951,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
1,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45952,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
2,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45953,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
3,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45955,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
4,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45956,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
5,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45957,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
6,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45960,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
7,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45962,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
8,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45964,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
9,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45972,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
10,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45974,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
11,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_45976,http://dbpedia.org/resource/Carl_Gustaf_Hellqvist,http://wikidata.org/entity/Q63596
12,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_39393,http://dbpedia.org/resource/Carl_Gustaf_Löwenhielm,http://wikidata.org/entity/Q5040253
13,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_66155,http://dbpedia.org/resource/Carl_Gustaf_Löwenhielm,http://wikidata.org/entity/Q5040253
14,http://data.europeana.eu/proxy/europeana/2021002/e_IsShownAt_6FC66F2F_B7DD_4C0B_BB46_564745CAC2EA,http://dbpedia.org/resource/Carl_Gustaf_Pilo,http://wikidata.org/entity/Q649390
15,http://data.europeana.eu/proxy/europeana/2021002/e_IsShownAt_D5D80662_C196_4860_98BE_6EA14CAD9E7B,http://dbpedia.org/resource/Carl_Gustaf_Pilo,http://wikidata.org/entity/Q649390
16,http://data.europeana.eu/proxy/europeana/2022608/AAK_AAM_B_1336_,http://dbpedia.org/resource/Carl_Gustaf_Pilo,http://wikidata.org/entity/Q649390
17,http://data.europeana.eu/proxy/europeana/03924/_0011_oai_biusante_parisdescartes_fr_medica_35558x01,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
18,http://data.europeana.eu/proxy/europeana/03924/_0011_oai_biusante_parisdescartes_fr_medica_35558x02,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
19,http://data.europeana.eu/proxy/europeana/03924/_0011_oai_biusante_parisdescartes_fr_medica_35558x03,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
20,http://data.europeana.eu/proxy/europeana/03924/_0011_oai_biusante_parisdescartes_fr_medica_36241,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
21,http://data.europeana.eu/proxy/europeana/03924/_0011_oai_biusante_parisdescartes_fr_medica_84743x04,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
22,http://data.europeana.eu/proxy/europeana/04202/BibliographicResource_3000135692136,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
23,http://data.europeana.eu/proxy/europeana/04202/BibliographicResource_3000135697511,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
24,http://data.europeana.eu/proxy/europeana/07927/diglit_carus1864,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
25,http://data.europeana.eu/proxy/europeana/2048088/VEA1089749,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
26,http://data.europeana.eu/proxy/europeana/2048088/VEA1089752,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
27,http://data.europeana.eu/proxy/europeana/2048409/item_F25U3MD7XYTVXV5KIOFBVFFOMHAAUSZA,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
28,http://data.europeana.eu/proxy/europeana/2048409/item_FDYWPV74LINVVKTBBBLOG5WHG277YEXP,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
29,http://data.europeana.eu/proxy/europeana/2048409/item_FG5ZQRAUBWQGNG5NGJD34QT2VY2BSBJ7,http://dbpedia.org/resource/Carl_Gustav_Carus,http://wikidata.org/entity/Q61987
