URIs,Name label
http://www.wikidata.org/entity/Q497749,"Kosola, Vihtori (1884 - 1936)"
http://www.wikidata.org/entity/Q4420161,"Sinebrychoff, Pavel (1799 - 1883)"
http://www.wikidata.org/entity/Q13947156,"Högman, Margareta (1786 - 1849)"
http://www.wikidata.org/entity/Q3570250,"Palmqvist, Wäinö Gustaf (1882 - 1964)"
http://www.wikidata.org/entity/Q17381964,"Kyttä, Wilho (1881 - 1960)"
http://www.wikidata.org/entity/Q17381427,"Kankaanranta, Kerppo Kallas (1919 - 2001)"
http://www.wikidata.org/entity/Q54871214,"Sentzke, Geert (1897 - 1971)"
http://www.wikidata.org/entity/Q3290904,"Haapakoski, Aarne (1904 - 1961)"
http://www.wikidata.org/entity/Q11865786,"Jäntti, Jalmari (1876 - 1960)"
http://www.wikidata.org/entity/Q11850600,"Penttilä, Albert (1902 - 1957)"
http://www.wikidata.org/entity/Q6579800,"Meriluoto, Aila (1924 - 2019)"
http://www.wikidata.org/entity/Q11867478,"Korpivaara, Juhani (1887 - 1960)"
http://www.wikidata.org/entity/Q16594961,"Grön, Klara (K 1809 jälkeen)"
http://www.wikidata.org/entity/Q11896628,"Kuosa, Tauno (1917 - 2000)"
http://www.wikidata.org/entity/Q11882443,"Reenkola, Mies (1908 - 1988)"
http://www.wikidata.org/entity/Q11881325,"Paavola, Martti (1898 - 1992)"
http://www.wikidata.org/entity/Q11885321,"Veistäjä, Olavi (1908 - 1988)"
http://www.wikidata.org/entity/Q717436,"Aalto, Arvo (1932 - )"
http://www.wikidata.org/entity/Q11858317,"Kairamo, Erkki (1936 - 1994)"
http://www.wikidata.org/entity/Q11852179,"Sabelfana, Anders Nilsinpoika (K 1580)"
http://www.wikidata.org/entity/Q5558811,"Arén, Erik (1772 - 1859)"
http://www.wikidata.org/entity/Q17382597,"Nikolajeff, Sergei junior (1878 - 1920)"
http://www.wikidata.org/entity/Q6061191,Ragvaldus (K 1321)
http://www.wikidata.org/entity/Q17380910,"Hornborg, Lars (1890 - 1961)"
http://www.wikidata.org/entity/Q11866340,"Spennert, Jenny (1879 - 1950)"
http://www.wikidata.org/entity/Q2718143,Ingegerd Birgerintytär (noin 1180 - noin 1230)
http://www.wikidata.org/entity/Q5487811,"Björkenheim, Gösta (1866 - 1918)"
http://www.wikidata.org/entity/Q4129860,"Genetz, Arvid (1848 - 1915)"
http://www.wikidata.org/entity/Q17383046,"Puhakka, Yrjö (1888 - 1971)"
http://www.wikidata.org/entity/Q1038496,"Tessin, Carl Gustaf (1695 - 1770)"
http://www.wikidata.org/entity/Q17383754,"Setälä, Salme (1894 - 1980)"
http://www.wikidata.org/entity/Q17380518,"Hanhivaara, Pietari (1833 - 1926)"
http://www.wikidata.org/entity/Q446308,"Kyrklund, Kyra (1951 - )"
http://www.wikidata.org/entity/Q5895555,"Järvinen, Kyösti (1869 - 1957)"
http://www.wikidata.org/entity/Q2349252,"Aspelin, Johan Reinhold (1842 - 1915)"
http://www.wikidata.org/entity/Q16298565,"Hautala, Hannu (1941 - )"
http://www.wikidata.org/entity/Q105705638,"Rosenberg, Anton William (1889 - 1985)"
http://www.wikidata.org/entity/Q15072339,"Goldbeck-Löwe, Albert (1863 - 1934)"
http://www.wikidata.org/entity/Q4342319,"Pakarinen, Esa (1911 - 1989)"
http://www.wikidata.org/entity/Q3896218,"Valkama, Ritva (1932 - )"
http://www.wikidata.org/entity/Q3438394,"Köngäs-Maranda, Elli-Kaija (1932 - 1982)"
http://www.wikidata.org/entity/Q5945712,"Lekve, Endre (1833 - 1882)"
http://www.wikidata.org/entity/Q11857802,"Sarlin, Emil (1875 - 1956)"
http://www.wikidata.org/entity/Q4967243,"Mickwitz, Camilla (1937 - 1989)"
http://www.wikidata.org/entity/Q17384344,"Tidgren, Gabriel (1743 - 1788)"
http://www.wikidata.org/entity/Q20253188,"Thuneberg, Achates (1820 - 1892)"
http://www.wikidata.org/entity/Q5591924,"Bång, Johan Zacharias (1782 - 1845)"
http://www.wikidata.org/entity/Q11856781,"Rahola, Eero (1897 - 1975)"
http://www.wikidata.org/entity/Q4354473,"Mellin, Gustaf Henrik (1803 - 1876)"
http://www.wikidata.org/entity/Q4967093,"Merthen, Eva (1723 - 1811)"
http://www.wikidata.org/entity/Q207879,"Zhdanov, Andrei (1896 - 1948)"
http://www.wikidata.org/entity/Q6193278,"Strömberg, Georg Adolf (1823 - 1906)"
http://www.wikidata.org/entity/Q5245415,"Ruong, Israel (1903 - 1986)"
http://www.wikidata.org/entity/Q105704837,"Koutio, Siivo (1906 - 1960)"
http://www.wikidata.org/entity/Q11895488,"Olsson, Svante (1856 - 1941)"
http://www.wikidata.org/entity/Q105705275,"Hammarin, Erik Johan (1724 - 1804)"
http://www.wikidata.org/entity/Q14195981,"Äimä, Frans (1875 - 1936)"
http://www.wikidata.org/entity/Q11854062,"Broms, Bengt (1929 - )"
http://www.wikidata.org/entity/Q5627617,"Eek, Johan Fredrik (1758 - 1820)"
http://www.wikidata.org/entity/Q17385021,"Väänänen, Pietari Joosef (1781 - 1846)"
http://www.wikidata.org/entity/Q18688480,"Järvi, Jorma (1925 - 2001)"
http://www.wikidata.org/entity/Q5798706,"Heliövaara, Olavi Konstantin (1891 - 1980)"
http://www.wikidata.org/entity/Q5945070,"Leijonhufvud, Axel (1554 - 1619)"
http://www.wikidata.org/entity/Q11865548,"Sievänen, Jaakko (1932 - 2013)"
http://www.wikidata.org/entity/Q1403241,"Parmet, Simon (1897 - 1969)"
http://www.wikidata.org/entity/Q5581965,"Bonsdorff, Evert Julius (1810 - 1898)"
http://www.wikidata.org/entity/Q5820266,"Hård af Segerstad, Karl (1873 - 1931)"
http://www.wikidata.org/entity/Q4132303,"Jalvi, Pedar (1888 - 1916)"
http://www.wikidata.org/entity/Q11867744,"Mäkelä, Jukka (1949 - 2018)"
http://www.wikidata.org/entity/Q323088,"Nuorteva, Väinö (1889 - 1967)"
http://www.wikidata.org/entity/Q11896675,"Ista, Tea (1932 - 2014)"
http://www.wikidata.org/entity/Q11893522,"Juntunen, Simo (1920 - 2009)"
http://www.wikidata.org/entity/Q11868081,"Raitio, Jussi (1882 - 1954)"
http://www.wikidata.org/entity/Q17383808,"Schultén, Nathanael Gerhard af (1750 - 1825)"
http://www.wikidata.org/entity/Q11892653,"Puhtila, Sauvo (1928 - 2014)"
http://www.wikidata.org/entity/Q11872363,"Hällstén, Konrad (1835 - 1913)"
http://www.wikidata.org/entity/Q11893224,"Nuormaa, Severi (1865 - 1924)"
http://www.wikidata.org/entity/Q11854857,"Bremer, Caj (1929 - )"
http://www.wikidata.org/entity/Q81711115,"Wenne, Henricus (noin 1465 - 1513)"
http://www.wikidata.org/entity/Q5479069,"Kare, Kauko (1914 - 1996)"
http://www.wikidata.org/entity/Q11893002,"Nummi, Seppo (1932 - 1981)"
http://www.wikidata.org/entity/Q5274331,"Lang, Joel Napoleon (1847 - 1905)"
http://www.wikidata.org/entity/Q61959,"Goltz, Rüdiger von der (1865 - 1946)"
http://www.wikidata.org/entity/Q5409364,"Saarikivi, Sakari (1911 - 1985)"
http://www.wikidata.org/entity/Q11857085,"Haikala, Eino (1913 - 1993)"
http://www.wikidata.org/entity/Q11861815,"Brotherus, Heikki (1909 - 1985)"
http://www.wikidata.org/entity/Q5495706,"Ahmala, Kössi (1889 - 1918)"
http://www.wikidata.org/entity/Q5740242,"Spöring, Herman Diedrich (1701 - 1747)"
http://www.wikidata.org/entity/Q1509861,"Rankama, Kalervo (1913 - 1995)"
http://www.wikidata.org/entity/Q11865803,"Saari, Jalmari (1873 - 1925)"
http://www.wikidata.org/entity/Q11857806,"Streng, Emil (1838 - 1911)"
http://www.wikidata.org/entity/Q3736180,"Granö, Johannes Gabriel (1882 - 1956)"
http://www.wikidata.org/entity/Q11861827,"Huhtamäki, Heikki (1900 - 1970)"
http://www.wikidata.org/entity/Q15295957,"Mäkelä, Marika (1947 - )"
http://www.wikidata.org/entity/Q4412998,"Lagus, Wilhelm Gabriel (1786 - 1859)"
http://www.wikidata.org/entity/Q6190771,"Stjernvall-Walleen, Emil (1806 - 1890)"
http://www.wikidata.org/entity/Q17381453,"Karikoski, Väinö Adolf Mathias (1899 - 1958)"
http://www.wikidata.org/entity/Q3662899,"Jurkka, Jussi (1930 - 1982)"
http://www.wikidata.org/entity/Q4355303,"Kurtén, Joachim (1836 - 1899)"
http://www.wikidata.org/entity/Q11887376,"Pekkarinen, Pentti (1917 - 1975)"
http://www.wikidata.org/entity/Q3742071,"Nylund, Felix (1878 - 1940)"
http://www.wikidata.org/entity/Q11887554,"Viinanen, Pertti (1937 - 2012)"
http://www.wikidata.org/entity/Q5409026,"Lindholm, Berndt (1841 - 1914)"
http://www.wikidata.org/entity/Q6066966,"Reijonen, Juho (1855 - 1924)"
http://www.wikidata.org/entity/Q11869408,"Kultala, Kalle (1924 - 1991)"
http://www.wikidata.org/entity/Q5478270,"Salmenoja, Pietari (1893 - 1962)"
http://www.wikidata.org/entity/Q6061182,Ragvaldus (K 1266)
http://www.wikidata.org/entity/Q54824497,"Kalliala, Kaarlo (1900 - 1972)"
http://www.wikidata.org/entity/Q6501383,"Hakulinen, Lauri (1899 - 1985)"
http://www.wikidata.org/entity/Q3735548,"Stålarm, Arvid (1549 - 1620)"
http://www.wikidata.org/entity/Q5395755,"Koivunen, Matti (1919 - 1997)"
http://www.wikidata.org/entity/Q18633629,"Raula, Artturi (1893 - 1984)"
http://www.wikidata.org/entity/Q18688667,"Wargentin, Magdalena (1714 - 1765)"
http://www.wikidata.org/entity/Q5931795,"Lagus, Ernst (1859 - 1923)"
http://www.wikidata.org/entity/Q952175,Kristiina Stigintytär (noin 1145 - noin 1200)
http://www.wikidata.org/entity/Q6255182,"Åkerhielm, Samuel (1684 - 1768)"
http://www.wikidata.org/entity/Q157239,"Virtanen, Artturi Ilmari (1895 - 1973)"
http://www.wikidata.org/entity/Q3823221,"Klemetti, Heikki (1876 - 1953)"
http://www.wikidata.org/entity/Q11850171,"Malkamäki, Aino (1895 - 1961)"
http://www.wikidata.org/entity/Q11850123,"Pennanen, Ain'Elisabet (1881 - 1945)"
http://www.wikidata.org/entity/Q17384470,"Valle, Otto (1899 - 1969)"
http://www.wikidata.org/entity/Q11885275,"Keitele, Olavi (1926 - 1987)"
http://www.wikidata.org/entity/Q242598,Blanka Namurilainen (noin 1318 - 1363)
http://www.wikidata.org/entity/Q534128,"Hall, Gus (1910 - 2000)"
http://www.wikidata.org/entity/Q2642157,"Luukkonen, Fanni (1882 - 1947)"
http://www.wikidata.org/entity/Q4355931,"Hannula, Joose Olavi (1900 - 1944)"
http://www.wikidata.org/entity/Q11854161,"Paulig, Bertel (1892 - 1918)"
http://www.wikidata.org/entity/Q5726860,"Federley, Alex (1864 - 1932)"
