 wikidataURI,"label"
 http://www.wikidata.org/entity/Q61279771,"Ambrož, Oton"
 http://www.wikidata.org/entity/Q450649,"Ambrožič, Alojzij Matej"
 http://www.wikidata.org/entity/Q19307156,"Ambrožič, Bernard"
 http://www.wikidata.org/entity/Q61279659,"Ambrožič, Franc"
 http://www.wikidata.org/entity/Q20521061,"Ambrožič, Franci"
 http://www.wikidata.org/entity/Q12791971,"Ambrožič, Jozafat"
 http://www.wikidata.org/entity/Q18604250,"Ambrožič, Jože"
 http://www.wikidata.org/entity/Q12792946,"Ambrožič, Jožef"
 http://www.wikidata.org/entity/Q10950604,"Ambrožič, Ladislav"
 http://www.wikidata.org/entity/Q21548310,"Ambrožič, Lado"
 http://www.wikidata.org/entity/Q12755043,"Ambrožič, Matija"
 http://www.wikidata.org/entity/Q12796506,"Ambrožič, Mihael"
 http://www.wikidata.org/entity/Q12796829,"Ambrožič, Miroslav"
 http://www.wikidata.org/entity/Q689332,"Ambschell, Anton"
 http://www.wikidata.org/entity/Q61278998,"Amon, Marko"
 http://www.wikidata.org/entity/Q59814954,"Amon, Slavko"
 http://www.wikidata.org/entity/Q88311,"Ampferer, Otto"
 http://www.wikidata.org/entity/Q61278755,"Anderlajn, Kacijan"
 http://www.wikidata.org/entity/Q12784741,"Anderlič, Anton"
 http://www.wikidata.org/entity/Q61278650,"Andlovic, Jože"
 http://www.wikidata.org/entity/Q12791499,"Andoljšek, Ivan"
 http://www.wikidata.org/entity/Q12794857,"Andolšek Jeras, Lidija"
 http://www.wikidata.org/entity/Q18507364,"Andolšek, Andrej"
 http://www.wikidata.org/entity/Q62754,"Andreae, Jakob"
 http://www.wikidata.org/entity/Q1926799,"Andreaš, Mihael"
 http://www.wikidata.org/entity/Q21548373,"Andreeva, Olga"
 http://www.wikidata.org/entity/Q18507423,"Andrej iz Loke"
 http://www.wikidata.org/entity/Q18507424,"Andrej iz Ottinga"
 http://www.wikidata.org/entity/Q12792393,"Andrejka, Jernej"
 http://www.wikidata.org/entity/Q18645088,"Andrejka, Rudolf"
 http://www.wikidata.org/entity/Q12786151,"Andrijanič, Boris"
 http://www.wikidata.org/entity/Q12785286,"Andrioli, Avgust"
 http://www.wikidata.org/entity/Q19309124,"Andrioli, Frančišek Ksaverij"
 http://www.wikidata.org/entity/Q61278541,"Andrović, Ivan"
 http://www.wikidata.org/entity/Q61278565,"Andrée Prosenc, Tjaša"
 http://www.wikidata.org/entity/Q12794755,"Andrée, Leopold"
 http://www.wikidata.org/entity/Q12794754,"Andrée, Leopold"
 http://www.wikidata.org/entity/Q12798044,"Angeli, Oskar"
 http://www.wikidata.org/entity/Q61278536,"Aničić, Bogoljub"
 http://www.wikidata.org/entity/Q21589749,"Ankerst, Hubert"
 http://www.wikidata.org/entity/Q61278531,"Anko, Boštjan"
 http://www.wikidata.org/entity/Q61278527,"Antauer, Evgen"
 http://www.wikidata.org/entity/Q17402254,"Antolič, Ivo"
 http://www.wikidata.org/entity/Q3659002,"Antoni, Carlo"
 http://www.wikidata.org/entity/Q3750504,"Antonini, Prospero Francesco"
 http://www.wikidata.org/entity/Q61278517,"Antonič, Herman"
 http://www.wikidata.org/entity/Q17402255,"Antončič, Boštjan"
