oeblbio,oeblid
http://www.wikidata.org/entity/Q96341,B/Beckmann_Friedrich_1803_1866
http://www.wikidata.org/entity/Q97522,D/Devrient_Max_1857_1929
http://www.wikidata.org/entity/Q5454,A/Albrizzi-Teotochi_Isabella_1763_1836
http://www.wikidata.org/entity/Q15803,J/Jenko_Simon_1835_1869
http://www.wikidata.org/entity/Q15944,B/Breisky_Walter_1871_1944
http://www.wikidata.org/entity/Q16824,J/Junker_Karl_1867_1928
http://www.wikidata.org/entity/Q43815,S/Struber_Joseph_1773_1845
http://www.wikidata.org/entity/Q44032,S/Schiele_Egon_1890_1918
http://www.wikidata.org/entity/Q44274,H/Haider_Joerg_1950_2008
http://www.wikidata.org/entity/Q44972,E/Englaender_Richard_1859_1919
http://www.wikidata.org/entity/Q44927,L/Lanner_Joseph_1801_1843
http://www.wikidata.org/entity/Q44911,O/Olbrich_Josef-Maria_1867_1908
http://www.wikidata.org/entity/Q45562,P/Pick_Gustav_1832_1921
http://www.wikidata.org/entity/Q45580,S/Stelzhamer_Franz-Xav_1802_1874
http://www.wikidata.org/entity/Q58586,H/Husserl_Edmund_1859_1938
http://www.wikidata.org/entity/Q60657,A/Albrecht_Kasimir_1738_1822
http://www.wikidata.org/entity/Q62046,S/Schrank_Franz-De-Paula_1747_1835
http://www.wikidata.org/entity/Q62934,E/Eberl_Irmfried_1910_1948
http://www.wikidata.org/entity/Q64162,P/Pastor-Camperfelden_Ludwig_1854_1928
http://www.wikidata.org/entity/Q64625,U/Uexkuell-Gyllenband_Nikolaus_1877_1944
http://www.wikidata.org/entity/Q78108,M/Maier-Graefe_Julius_1867_1935
http://www.wikidata.org/entity/Q78477,S/Schumpeter_Joseph-Alois_1883_1950
http://www.wikidata.org/entity/Q78530,U/Ullmann_Viktor-Josef_1898_1944
http://www.wikidata.org/entity/Q78586,S/Slezak_Leo_1873_1946
http://www.wikidata.org/entity/Q78676,S/Stadion-Warthausen_Johann-Philipp-Karl_1763_1824
http://www.wikidata.org/entity/Q78836,N/Negrelli-Moldelbe_Alois_1799_1858
http://www.wikidata.org/entity/Q78720,S/Seipel_Ignaz_1876_1932
http://www.wikidata.org/entity/Q78744,S/Seidler-Feuchtenegg_Ernst_1862_1931
