,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/9200419/BibliographicResource_3000125924035,http://dbpedia.org/resource/Piotr_Michałowski,http://www.wikidata.org/entity/Q1389396
1,http://data.europeana.eu/proxy/europeana/15508/AZ4885r,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
2,http://data.europeana.eu/proxy/europeana/15508/AZ4885v,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
3,http://data.europeana.eu/proxy/europeana/15508/AZ4886,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
4,http://data.europeana.eu/proxy/europeana/15508/AZ4887,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
5,http://data.europeana.eu/proxy/europeana/15508/AZ4888,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
6,http://data.europeana.eu/proxy/europeana/15508/AZ4889,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
7,http://data.europeana.eu/proxy/europeana/15508/AZ4890,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
8,http://data.europeana.eu/proxy/europeana/15508/AZ4891,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
9,http://data.europeana.eu/proxy/europeana/15508/AZ4892,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
10,http://data.europeana.eu/proxy/europeana/15508/AZ4893,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
11,http://data.europeana.eu/proxy/europeana/15508/AZ4894,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
12,http://data.europeana.eu/proxy/europeana/15508/AZ4895,http://dbpedia.org/resource/Pompeo_Marchesi,http://www.wikidata.org/entity/Q431992
