,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/2048080/detail_3467123,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
1,http://data.europeana.eu/proxy/europeana/2048080/detail_3467134,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
2,http://data.europeana.eu/proxy/europeana/2048080/detail_3467145,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
3,http://data.europeana.eu/proxy/europeana/2048080/detail_3467156,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
4,http://data.europeana.eu/proxy/europeana/2048080/detail_3467866,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
5,http://data.europeana.eu/proxy/europeana/2048080/detail_3467877,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
6,http://data.europeana.eu/proxy/europeana/2048080/detail_3745175,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
7,http://data.europeana.eu/proxy/europeana/2048080/detail_3745188,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
8,http://data.europeana.eu/proxy/europeana/2048080/detail_311723,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
9,http://data.europeana.eu/proxy/europeana/2048080/detail_311734,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
10,http://data.europeana.eu/proxy/europeana/2048080/detail_311745,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
11,http://data.europeana.eu/proxy/europeana/2048080/detail_311987,http://dbpedia.org/resource/Ladislav_Šaloun,http://www.wikidata.org/entity/Q1800023
12,http://data.europeana.eu/proxy/europeana/2023859/04100_04142_borito_jpg,http://dbpedia.org/resource/Lajos_Deák_Ébner,http://www.wikidata.org/entity/Q6474382
13,http://data.europeana.eu/proxy/europeana/2023859/04100_04148_borito_jpg,http://dbpedia.org/resource/Lajos_Deák_Ébner,http://www.wikidata.org/entity/Q6474382
14,http://data.europeana.eu/proxy/europeana/2023859/_http___keptar_oszk_hu_025800_025837__,http://dbpedia.org/resource/Lajos_Deák_Ébner,http://www.wikidata.org/entity/Q6474382
15,http://data.europeana.eu/proxy/europeana/2023859/04500_04599_borito_jpg,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
16,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_70_135_T,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
17,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_70_152_T,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
18,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_70_156_T,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
19,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_70_169_T,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
20,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_70_179_T,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
21,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_70_180_T,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
22,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1912_422,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
23,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1912_423,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
24,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1917_1022,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
25,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1917_1023,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
26,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1917_1024,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
27,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1919_570,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
28,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1954_4916,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
29,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1954_4917,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
30,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_1954_5004,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
31,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_5502,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
32,http://data.europeana.eu/proxy/europeana/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_62_31_T,http://dbpedia.org/resource/Lajos_Tihanyi,http://www.wikidata.org/entity/Q856707
