,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/2048222/470,http://dbpedia.org/resource/Eugène_Brands,http://www.wikidata.org/entity/Q2112533
1,http://data.europeana.eu/proxy/europeana/04202/BibliographicResource_3000135708452,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
2,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10109855,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
3,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10207863,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
4,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10207867,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
5,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10207868,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
6,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10207869,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
7,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10207870,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
8,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10207871,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
9,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10260741,http://dbpedia.org/resource/Eugène_Simonis,http://www.wikidata.org/entity/Q585463
