,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/07101/O_1651,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
1,http://data.europeana.eu/proxy/europeana/08568/dokumente_html_obj67102495,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
2,http://data.europeana.eu/proxy/europeana/15508/8361,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
3,http://data.europeana.eu/proxy/europeana/15508/8362,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
4,http://data.europeana.eu/proxy/europeana/2021608/11259_collection_39487,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
5,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_10935,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
6,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_21982,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
7,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_35534,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
8,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_5372,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
9,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_5396,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
10,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_5910,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
11,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_9000,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
12,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10338415,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
13,http://data.europeana.eu/proxy/europeana/92062/BibliographicResource_1000126123627,http://dbpedia.org/resource/David_Bailly,http://www.wikidata.org/entity/Q724192
14,http://data.europeana.eu/proxy/europeana/2021002/e_IsShownAt_9E065365_5A62_4762_9286_9CCA87EF0319,http://dbpedia.org/resource/David_Beck,http://www.wikidata.org/entity/Q1173687
15,http://data.europeana.eu/proxy/europeana/2021002/e_IsShownAt_B268CDC5_20C6_4A69_9B7A_D42F25D193D0,http://dbpedia.org/resource/David_Beck,http://www.wikidata.org/entity/Q1173687
16,http://data.europeana.eu/proxy/europeana/2021002/e_IsShownAt_CED49B32_6E7D_4453_BF08_D3E59FB697AD,http://dbpedia.org/resource/David_Beck,http://www.wikidata.org/entity/Q1173687
