,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/15502/GG_6044,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
1,http://data.europeana.eu/proxy/europeana/15508/9304,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
2,http://data.europeana.eu/proxy/europeana/15508/9305,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
3,http://data.europeana.eu/proxy/europeana/15508/9306,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
4,http://data.europeana.eu/proxy/europeana/15508/9307,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
5,http://data.europeana.eu/proxy/europeana/15508/9308,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
6,http://data.europeana.eu/proxy/europeana/15508/9309,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
7,http://data.europeana.eu/proxy/europeana/15508/9310,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
8,http://data.europeana.eu/proxy/europeana/15508/9311,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
9,http://data.europeana.eu/proxy/europeana/15508/9312,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
10,http://data.europeana.eu/proxy/europeana/15508/9313,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
11,http://data.europeana.eu/proxy/europeana/15508/17585,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
12,http://data.europeana.eu/proxy/europeana/2021608/11259_collection_38693,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
13,http://data.europeana.eu/proxy/europeana/2020903/KMS3887,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
14,http://data.europeana.eu/proxy/europeana/2020903/KMSsp461,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
15,http://data.europeana.eu/proxy/europeana/2021608/11259_collection_49562,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
16,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_17513,http://dbpedia.org/resource/Gabriël_Metsu,http://www.wikidata.org/entity/Q355213
